STATION CODE,STATE,TEMPERATURE_Min,TEMPERATURE_Max,pH_Min,PH_Max,CONDUCTIVITY_Min,CONDUCTIVITY_Max,BOD_Min,BOD_Max,NITRATE_NITRATE_Min,NITRATE_NITRATE_Max,FECALCOLIFORM_Min,FECALCOLIFORM_Max,TOTALCOLIFORM_Min,TOTALCOLIFORM_Max,FLUORIDE_Min,FLUORIDE_Max,Latitude,Longitude,wqi
2985,RAJASTHAN,20.4,23.4,7.15,7.4,14200,14200,1.1,1.25,0.14,0.3,3,4,7,14,0.9,1.2,26.117787,72.981069,81.2
2986,RAJASTHAN,24.0,33.0,7.63,7.7,8100,12100,0.1,1.2,0.02,0.42,3,4,9,20,1.3,1.42,25.800868,72.305888,81.2
2987,RAJASTHAN,24.0,33.0,7.25,7.54,7600,8700,0.06,1.2,0.22,0.3,4,4,7,150,1.32,1.36,25.835767,72.250422,81.2
2988,RAJASTHAN,24.0,31.0,6.4,7.05,8400,10800,0.79,1.8,0.14,0.3,4,7,14,210,1.02,1.6,25.817793,72.303004,81.2
2989,RAJASTHAN,24.0,33.0,7.4,7.88,9400,17000,1.24,2.15,0.08,0.08,3,3,4,7,1.38,1.58,26.333372,73.06863,81.2
2990,RAJASTHAN,24.0,33.0,7.12,7.75,8400,10500,0.87,5.29,0.16,0.16,4,4,14,28,0.98,1.53,25.830032,72.240139,81.2
2991,RAJASTHAN,24.0,32.0,7.53,7.78,9700,13600,0.07,0.81,0.16,0.22,4,7,14,20,1.36,1.44,26.317069,73.128439,81.2
2993,RAJASTHAN,24.0,30.0,7.31,7.57,19000,24000,1.27,1.35,0.08,0.08,4,4,9,20,1.44,1.52,25.82887,72.239361,81.2
2997,RAJASTHAN,25.0,31.0,7.22,7.5,2000,2600,1.35,3.4,0.02,0.14,3,4,9,11,1.26,1.34,25.81354,72.223851,81.2
3000,RAJASTHAN,29.0,29.0,8.22,8.22,3200,3200,0.38,0.38,0.08,0.22,3,3,4,4,0.4,0.4,28.156508,76.824786,81.2
3001,RAJASTHAN,28.0,29.0,7.28,8.16,1800,1820,0.45,1.46,0.14,0.14,3,4,3,14,0.74,1.1,28.204186,76.875264,81.2
3002,RAJASTHAN,28.0,29.0,7.84,8.49,910,950,0.92,1.05,0.38,9.0,3,3,3,4,0.98,1.1,28.202831,76.875044,81.2
3003,RAJASTHAN,28.0,31.0,7.21,8.4,3300,3500,0.15,0.81,0.58,2.28,3,4,4,7,0.54,1.26,28.202053,76.875006,81.2
3004,RAJASTHAN,30.0,30.0,8.26,8.68,1000,1030,0.81,1.2,0.3,1.76,3,3,4,7,0.28,1.0,28.130792,76.774783,81.2
3006,RAJASTHAN,27.0,28.0,8.41,8.42,1500,1510,0.22,0.6,0.32,0.74,3,3,3,4,1.34,1.48,26.887742,75.856456,81.2
2477,UTTAR PRADESH,16.1,25.0,7.42,8.64,1106,1570,0.5,0.9,0.36,0.42,,,,,,,26.777608,79.021508,65.1
1736,UTTAR PRADESH,25.0,26.0,6.89,6.91,984,1164,5.0,5.6,,,40,60,100,180,,,26.686837,83.552618,71.2
1737,UTTAR PRADESH,24.0,25.0,6.92,6.92,876,908,3.8,3.9,3.34,4.36,20,30,60,60,,,26.928581,83.707206,81.2
1738,UTTAR PRADESH,,,7.25,7.68,633.7,1345,1.0,1.0,3.64,3.9,1.8,1.8,1.8,1.8,1.6,1.6,26.537044,80.487825,81.2
1739,UTTAR PRADESH,,,7.04,7.06,3093,3233,0.6,0.6,5.5,5.5,1.8,1.8,1.8,5400,1.8,1.8,26.538889,80.487267,61.2
1740,UTTAR PRADESH,,,7.18,7.29,2570,2639,0.4,1.0,0.0,20.6,1.8,1.8,1.8,3500,2.45,2.45,26.540031,80.490569,62.8
1741,UTTAR PRADESH,,,7.25,7.59,661.2,1375,1.0,1.0,0.0,25.2,1.8,1.8,1.8,1.8,2.1,2.1,26.538322,80.485589,77.8
1742,UTTAR PRADESH,,,7.54,8.08,501.1,1055,1.0,1.0,0.0,9.2,1.8,1.8,1.8,1.8,,,26.846489,80.946736,81.2
1744,UTTAR PRADESH,27.0,27.0,7.8,7.8,796.4,796.4,2.4,2.4,2.5,3.2,,,20,20,2.95,2.95,26.4499,80.331872,76.2
1745,UTTAR PRADESH,27.0,27.0,6.94,6.94,548.2,548.2,0.8,0.8,34.5,34.5,,,,,1.22,1.22,26.423592,80.331022,58.6
1746,UTTAR PRADESH,22.0,23.0,7.79,7.81,819,901,,,8.66,8.66,,,,,1.28,1.68,26.264778,82.072736,65.1
1747,UTTAR PRADESH,22.0,24.0,7.82,7.89,811,998,,,0.22,0.24,,,10,10,1.84,1.92,26.771022,80.935244,76.2
1751,UTTAR PRADESH,26.8,27.0,7.4,7.5,240,248,1.6,1.8,0.0,0.0,,,310,340,,,28.844842,78.239367,76.2
1752,UTTAR PRADESH,20.0,22.0,7.0,7.5,1363,1930,1.8,1.8,0.0,0.0,,,4,4,0.68,0.68,28.675322,77.344944,76.2
1753,UTTAR PRADESH,20.0,22.0,6.8,7.0,1137,1152,2.2,2.2,2.7,2.83,,,,,0.82,0.82,28.688578,77.437194,65.1
1754,UTTAR PRADESH,20.8,22.0,7.2,7.5,544,544,2.4,2.4,1.25,1.33,,,,,0.64,0.64,28.640478,77.423614,65.1
1755,UTTAR PRADESH,20.0,22.0,7.3,7.5,810,884,3.0,3.0,0.07,0.08,,,,,0.6,0.6,28.637897,77.344133,65.1
1756,UTTAR PRADESH,27.2,27.2,7.2,7.2,304,304,1.8,1.8,1.71,1.77,,,,,,,25.282197,82.435167,65.1
1757,UTTAR PRADESH,26.0,27.2,6.57,6.62,984,1273,0.7,0.8,0.0,0.0,,,,,0.66,0.66,25.145956,82.565683,65.1
1758,UTTAR PRADESH,27.0,27.0,7.0,7.0,308,308,1.7,1.7,4.62,7.13,,,,,,,25.318,82.974161,65.1
1759,UTTAR PRADESH,26.5,27.5,6.64,7.14,800,995,0.7,0.8,0.0,0.0,,,,,0.47,0.47,25.539397,82.049394,65.1
1760,UTTAR PRADESH,25.8,27.4,6.28,6.52,1028,1057,1.0,1.2,2.59,4.96,,,,,0.27,0.27,24.457019,82.993158,65.1
1761,UTTAR PRADESH,26.0,27.2,6.98,7.0,880,996,1.0,1.1,20.3,26.67,,,,,0.3,0.3,24.120605,82.694761,58.6
2467,UTTAR PRADESH,27.8,27.8,7.2,7.2,288,288,1.6,1.6,0.1,0.6,,,,,,,25.299478,82.954689,65.1
2468,UTTAR PRADESH,27.5,27.5,7.1,7.1,312,312,1.4,1.4,0.0,0.0,,,,,,,25.698625,82.237508,65.1
2469,UTTAR PRADESH,26.0,27.5,6.62,7.06,991,1422,0.8,0.8,0.0,0.0,,,,,0.36,0.36,25.379194,81.877067,65.1
2470,UTTAR PRADESH,26.5,27.5,7.13,7.3,1299,1360,1.0,1.1,5.48,7.17,,,,,0.42,0.42,25.920075,80.809994,65.1
2471,UTTAR PRADESH,24.0,25.0,7.94,7.96,426,450,1.8,2.2,1.25,5.22,40,40,80,100,,,26.760553,83.373167,81.2
2474,UTTAR PRADESH,22.0,24.0,7.77,7.88,788,977,,,0.28,0.28,,,,,1.0,1.3,25.9,81.3,65.1
2475,UTTAR PRADESH,22.0,24.0,8.01,8.11,761,799,,,0.36,0.38,,,,,1.08,1.26,26.1338,81.1611,65.1
2478,UTTAR PRADESH,,,7.66,7.66,452.1,452.1,2.8,2.8,,,1.8,1.8,1.8,1.8,,,26.874128,81.039583,71.2
2479,UTTAR PRADESH,24.0,26.5,7.2,7.6,224,226,1.0,1.2,5.8,5.8,,,300,340,,,28.821631,78.724478,76.2
1748,UTTAR PRADESH,22.0,24.0,7.21,7.29,360,390,2.0,2.4,0.22,0.26,,,,,,,29.17602,79.007534,65.1
1766,WEST BENGAL,29.0,30.5,7.8,7.94,723,737,0.9,2.09,9.05,11.29,13,13,23,23,0.51,0.51,23.688196,86.965172,77.8
1767,WEST BENGAL,29.5,33.0,7.0,8.04,898,1015,0.96,2.03,0.29,0.301,,,,,0.4,0.4,23.520408,87.311958,65.1
1768,WEST BENGAL,29.0,34.0,6.6,6.6,783,1590,1.25,2.84,0.34,0.485,,,,,0.33,0.33,23.512911,87.354791,65.1
1769,WEST BENGAL,32.0,32.0,7.88,7.97,1395,1513,0.45,0.492,2.93,3.25,,,,,0.314,0.314,22.066658,88.069831,65.1
1770,WEST BENGAL,30.0,32.0,7.78,7.95,2050,2130,0.3,2.8,0.11,0.19,,,,,0.295,0.295,22.045697,88.107169,65.1
1771,WEST BENGAL,28.0,28.0,7.1,7.6,531,740,0.2,0.3,0.18,0.18,,,,,0.07,0.07,22.988655,88.450222,65.1
1772,WEST BENGAL,28.0,28.0,7.0,7.4,922,1061,0.4,0.4,0.14,0.14,,,,,0.03,0.03,22.764606,88.374953,65.1
1773,WEST BENGAL,31.0,32.0,7.57,7.7,1637,2070,0.1,1.5,0.07,0.1,2,2,4,4,0.34,0.34,22.5625,88.378106,81.2
1774,WEST BENGAL,27.0,32.0,7.72,7.81,1676,1994,0.55,0.8,0.0,0.19,4,4,7,7,0.491,0.491,22.533694,88.390192,81.2
1775,WEST BENGAL,28.0,29.0,7.42,8.39,1693,1730,0.85,2.0,0.0,0.08,8,8,14,27,0.37,0.37,22.560214,88.4421,81.2
1776,WEST BENGAL,30.0,32.0,7.9,8.48,1147,1200,0.3,0.8,0.0,0.07,4,4,9,9,0.61,0.61,22.462928,88.396753,81.2
1777,WEST BENGAL,26.0,29.0,7.49,8.17,867,877,0.7,1.2,0.09,0.1,,,,,0.413,0.413,22.497806,88.309361,65.1
1778,WEST BENGAL,25.0,27.0,7.44,7.51,1091,1092,0.7,1.65,0.1,0.11,2,4,4,8,0.794,0.794,22.633331,88.216664,81.2
1779,WEST BENGAL,28.0,29.0,6.67,7.37,937,948,0.3,1.6,0.04,0.06,,,,,0.04,0.04,22.702531,88.280619,65.1
1813,WEST BENGAL,27.5,30.0,6.55,7.02,893,913,1.3,1.5,25.0,26.0,,,,,0.03,0.03,22.724719,88.329214,58.6
1931,WEST BENGAL,27.0,28.0,7.12,7.36,2220,2360,0.2,0.3,0.0,0.0,80,80,110,110,0.397,0.397,22.616114,88.371281,81.2
1932,WEST BENGAL,27.0,28.0,7.19,8.35,908,1053,0.5,1.2,0.0,0.08,2,2,4,4,0.424,0.424,22.569728,88.360556,81.2
1933,WEST BENGAL,26.0,27.0,7.18,7.69,1327,1432,0.15,0.2,0.06,0.16,,,,,0.481,0.481,22.598719,88.263783,65.1
1934,WEST BENGAL,25.0,26.0,7.16,8.35,2260,2370,0.6,0.65,0.06,0.13,2,2,13,17,0.531,0.531,22.594558,88.25695,81.2
1935,WEST BENGAL,25.0,28.0,7.49,8.15,1410,1470,0.6,1.05,0.06,0.16,2,14,13,27,0.369,0.369,22.507544,88.51525,81.2
1936,WEST BENGAL,27.0,30.0,8.1,8.52,729,1589,1.0,2.6,0.0,0.08,,,,,0.996,0.996,22.440875,88.424636,65.1
1937,WEST BENGAL,26.0,31.0,7.06,7.95,1870,1878,0.2,0.4,0.0,0.07,,,,,0.749,0.749,22.618333,88.445233,65.1
1938,WEST BENGAL,28.0,31.0,8.1,8.3,2090,2190,0.5,0.6,0.0,0.07,,,0,2,0.03,0.03,22.662767,88.871314,76.2
1939,WEST BENGAL,28.0,28.0,7.5,7.8,365,387,0.3,0.4,0.15,0.19,,,,,0.05,0.05,22.695703,88.420875,65.1
1940,WEST BENGAL,29.0,30.0,6.73,7.49,596,624,0.25,0.7,0.0,0.03,,,,,0.14,0.14,22.723931,88.33035,65.1
1941,WEST BENGAL,27.0,28.0,6.74,7.36,379,397,0.5,0.6,0.0,0.135,,,,,0.09,0.09,22.922742,88.379542,65.1
1942,WEST BENGAL,31.0,32.0,7.41,7.97,7370,9830,0.9,1.4,0.0,0.148,,,,,0.261,0.261,22.066686,88.069822,65.1
1943,WEST BENGAL,28.5,30.0,7.48,7.74,627,635,0.3,0.5,0.1,0.16,,,,,0.093,0.093,22.331167,87.325108,65.1
1944,WEST BENGAL,28.0,30.0,6.06,7.15,123.3,123.3,0.75,0.9,0.12,0.13,,,,,0.077,0.077,22.328097,87.330928,65.1
1945,WEST BENGAL,26.0,26.0,7.1,7.4,602,645,0.2,0.4,0.7,2.22,,,,,0.08,0.08,25.010842,88.141097,65.1
2510,WEST BENGAL,28.0,28.0,8.02,8.53,1008,1012,0.45,0.6,0.0,0.0,,,,,0.324,0.324,21.936833,87.781078,65.1
2515,WEST BENGAL,26.0,30.0,7.1,7.5,608,625,0.3,0.5,0.0,0.13,,,,,0.06,0.06,23.753036,88.528681,65.1
2516,WEST BENGAL,26.0,28.0,7.2,7.8,628,784,0.4,0.5,0.0,0.12,,,2,2,0.04,0.04,23.400875,88.501397,76.2
2526,WEST BENGAL,22.0,27.0,6.51,6.51,170,170,1.0,3.3,0.06,0.26,80,1200,220,1700,0.05,0.05,23.4333,88.757414,62.0
2528,WEST BENGAL,27.0,27.5,6.5,6.67,343,702,1.14,2.03,0.45,1.33,,,8,8,0.3,0.3,23.257281,87.846803,76.2
2529,WEST BENGAL,28.0,28.0,6.58,6.6,458,459,1.15,1.25,0.35,0.56,,,,,0.3,0.3,23.250767,87.856658,65.1
2530,WEST BENGAL,64.5,65.5,9.3,9.34,564,577,3.53,4.18,0.65,0.709,,,,,14.0,14.0,23.88,87.37,65.1
2533,WEST BENGAL,23.0,27.0,6.8,6.84,745,764,1.78,2.78,0.07,0.098,,,23,23,0.31,0.31,23.916667,87.533333,76.2
2535,WEST BENGAL,31.5,33.5,6.6,7.4,453,484,1.53,1.72,0.71,0.891,,,,,0.46,0.46,23.6804,87.683564,65.1
2536,WEST BENGAL,26.5,28.5,6.5,7.21,1064,1089,0.71,1.58,0.15,0.182,,,,,0.33,0.33,24.295633,87.838553,65.1
2537,WEST BENGAL,23.5,31.5,5.8,6.0,311,323,1.34,3.03,3.13,9.438,,,,,0.2,0.2,23.668756,87.683064,65.1
2538,WEST BENGAL,24.5,28.5,6.7,6.79,273,293,0.53,1.19,1.64,3.41,,,,,0.4,0.4,24.302586,88.016364,65.1
2540,WEST BENGAL,23.0,29.5,7.1,7.94,657,1902,2.74,3.25,0.55,0.998,,,,,0.81,0.81,23.239772,87.074119,65.1
2542,WEST BENGAL,26.5,28.0,6.8,6.94,513,726,1.31,1.59,0.15,0.189,,,,,0.4,0.4,23.100489,87.309067,65.1
2543,WEST BENGAL,28.5,29.0,6.2,6.64,126,220,1.03,2.4,0.09,0.112,,,,,0.06,0.06,23.079997,87.320003,65.1
2545,WEST BENGAL,26.5,29.5,6.72,7.2,1087,1410,0.78,1.58,1.82,3.429,8,8,23,23,0.32,0.32,23.332078,86.365208,81.2
2546,WEST BENGAL,25.0,28.0,7.47,7.49,940,1021,0.6,0.9,3.29,8.503,4,4,22,22,0.311,0.311,22.468903,88.107339,81.2
2547,WEST BENGAL,25.0,27.0,7.86,8.08,249,10040,0.9,1.1,0.07,0.18,7,7,33,33,0.623,0.623,22.369025,88.271836,81.2
2548,WEST BENGAL,27.5,30.0,7.76,8.11,1377,1385,0.8,0.95,0.11,0.45,,,,,0.514,0.514,22.580058,88.472933,65.1
1644,ORISSA,25.0,35.0,7.7,8.1,251,911.8,0.8,1.1,4.1,6.933,2,2,2,4,0.046,0.18,20.495525,85.921127,81.2
1645,ORISSA,24.0,31.0,6.5,8.2,332.4,605,0.4,2.1,2.79,7.739,2,2,2,2,0.03,0.075,20.449205,85.901903,81.2
1646,ORISSA,22.0,34.0,7.8,8.1,106,134,0.8,1.3,0.33,0.477,2,2,2,2,0.04,0.095,20.485754,85.856931,81.2
1647,ORISSA,24.0,31.0,6.9,7.7,236,322.2,0.9,1.4,0.06,0.905,2,2,2,2,0.058,0.18,20.457454,85.882679,81.2
1648,ORISSA,25.0,32.0,7.8,8.3,228.1,396,0.8,2.1,0.33,11.39,2,2,2,4,0.178,0.19,20.4679,85.890185,77.8
1649,ORISSA,26.0,32.0,5.4,6.1,262,314.7,0.6,2.2,2.52,9.289,2,2,2,2,0.03,0.581,20.266264,85.782935,81.2
1650,ORISSA,25.0,32.0,6.0,6.5,271,272,0.4,1.2,1.06,4.327,2,2,2,2,0.05,0.359,20.260034,85.823265,81.2
1651,ORISSA,25.0,37.0,6.9,7.3,196,321,0.8,1.2,0.13,1.865,2,5,2,8,0.07,0.444,20.235087,85.8427,81.2
1652,ORISSA,27.0,30.0,5.3,6.9,319,427,0.5,1.6,0.66,2.494,2,2,2,4,0.06,0.393,20.256374,85.845783,81.2
1654,ORISSA,24.0,32.0,5.7,7.4,162,204,0.8,2.7,1.2,9.607,2,2,2,4,0.06,0.336,20.269852,85.82159,81.2
1655,ORISSA,27.0,29.0,7.4,7.8,690,1802,1.1,1.3,1.97,11.53,2,4,2,8,0.11,0.139,19.794405,85.822286,77.8
1656,ORISSA,27.0,27.0,7.7,7.7,1396,1396,0.9,0.9,11.8,11.84,17,17,33,33,0.13,0.13,19.804831,85.818076,77.8
1657,ORISSA,27.0,32.0,7.4,7.5,911,1086,1.0,1.7,9.59,11.03,2,2,2,6,0.14,0.155,19.813275,85.831531,77.8
1658,ORISSA,30.0,30.0,7.8,7.8,573.2,573.2,0.9,0.9,0.85,0.846,2,2,2,2,0.07,0.07,19.812634,85.828877,81.2
1825,BIHAR,23.0,23.0,7.16,7.3,640,6922,,,,,4,8,9,23,1.0,1.0,25.579122,85.253317,71.2
1826,BIHAR,22.0,23.0,7.1,7.2,632,674,,,,,4,4,9,13,1.0,1.0,25.593237,85.174164,71.2
1827,BIHAR,22.0,22.0,7.2,7.28,509,705,,,,,1,1,2,2,0.8,0.8,25.620924,85.159936,71.2
1828,BIHAR,21.0,23.0,7.19,7.5,506,842,,,,,1,1,2,2,0.9,0.9,25.609619,85.136893,71.2
1829,BIHAR,22.0,22.0,7.12,7.2,644,784,,,,,1,1,2,2,0.8,0.8,25.611612,85.09125,71.2
1830,BIHAR,20.0,28.0,7.53,8.1,815,816,,,,,2,7,4,11,0.6,0.6,26.122167,85.382451,71.2
1831,BIHAR,19.0,27.0,7.84,8.4,836,910,,,,,1,4,2,8,0.8,0.8,26.123515,85.378269,71.2
1832,BIHAR,25.0,26.0,7.6,7.9,952,952,,,,,7,8,14,21,0.4,0.4,25.413449,86.139054,71.2
1833,BIHAR,25.0,26.0,7.6,7.8,915,915,,,,,1,4,13,21,0.6,0.6,25.415751,86.135881,71.2
1834,BIHAR,25.0,26.0,7.5,7.8,462,462,,,,,8,13,11,22,0.8,0.8,25.783319,87.466672,71.2
1835,BIHAR,25.0,26.5,7.6,7.8,356,356,,,,,4,7,7,17,0.8,0.8,25.772242,87.467227,71.2
1836,BIHAR,23.0,23.0,8.0,8.0,-,-,,,,,14,14,21,21,,,25.419944,86.129972,100.0
1837,BIHAR,23.0,25.0,7.8,7.8,856,856,,,,,4,9,7,22,0.8,0.8,25.419953,86.129981,71.2
1838,BIHAR,24.0,24.0,7.6,7.8,637,637,,,,,7,8,11,13,0.9,0.9,25.380978,86.465003,71.2
1839,BIHAR,24.0,24.0,7.6,7.6,962,962,,,,,2,2,4,4,0.9,0.9,25.372324,86.471752,71.2
1840,BIHAR,19.0,28.0,7.66,8.2,480,542,,,,,1,8,2,17,0.8,0.8,26.649806,84.916775,71.2
1841,BIHAR,22.0,24.0,8.1,8.21,1006,1024,,,,,9,11,22,27,0.8,0.8,24.794784,85.007259,71.2
1842,BIHAR,22.0,22.0,8.6,8.61,484,502,,,,,1,2,2,3,0.6,0.6,24.795406,84.999433,71.2
1843,BIHAR,22.0,22.0,8.0,8.18,516,532,,,,,4,7,14,14,0.9,0.9,25.017233,85.416189,71.2
1844,BIHAR,23.0,24.0,7.8,8.62,414,484,,,,,2,9,4,21,0.8,0.8,25.783556,84.75325,71.2
2576,BIHAR,23.0,23.0,7.4,7.42,532,564,,,,,4,7,11,11,0.9,0.9,24.754222,84.373768,71.2
2577,BIHAR,25.0,26.0,7.5,7.8,668,668,,,,,8,17,17,26,0.9,0.9,26.13508,87.467551,71.2
2578,BIHAR,23.0,24.0,8.0,8.14,563,584,,,,,2,4,4,8,1.0,1.0,25.325799,84.605419,71.2
2579,BIHAR,24.0,27.0,8.1,8.18,552,562,,,,,4,4,7,8,0.8,0.8,25.566265,83.983535,71.2
2580,BIHAR,22.0,24.0,7.2,7.24,780,810,,,,,4,8,9,13,0.8,0.8,25.040383,83.610998,71.2
2581,BIHAR,25.0,25.0,7.66,7.66,410,410,,,,,13,13,23,23,,,26.160497,85.899783,71.2
2582,BIHAR,26.0,26.0,7.72,7.72,440,440,,,,,23,23,50,50,,,26.187745,85.903178,71.2
2583,BIHAR,22.0,23.0,8.3,8.82,512,552,,,,,4,4,8,9,0.8,0.8,26.46047,84.438832,71.2
2584,BIHAR,23.0,23.0,7.76,8.3,790,862,,,,,1,4,2,11,0.9,0.9,26.429064,84.394487,71.2
2585,BIHAR,20.0,27.0,7.8,8.0,552,610,,,,,4,7,7,17,0.8,0.8,25.216006,84.9842,71.2
2586,BIHAR,28.0,28.0,7.5,7.5,672,672,,,,,7,7,17,17,0.9,0.9,25.541982,87.567477,71.2
2587,BIHAR,25.0,26.0,7.6,7.9,854,854,,,,,8,8,13,23,0.8,0.8,25.483817,86.701389,71.2
2588,BIHAR,25.5,26.0,7.6,7.8,558,558,,,,,7,11,11,21,0.9,0.9,25.676944,86.943056,71.2
2589,BIHAR,26.0,28.0,7.5,7.8,940,940,,,,,4,13,11,22,0.8,0.8,25.916944,86.778611,71.2
2590,BIHAR,25.0,25.0,7.53,7.53,572,572,,,,,8,8,14,14,,,26.345964,86.071781,71.2
2591,BIHAR,21.0,23.0,8.2,8.21,694,716,,,,,2,7,17,17,0.6,0.6,25.139348,85.451156,71.2
2592,BIHAR,22.0,22.0,7.3,7.41,705,754,,,,,4,4,9,13,0.6,0.6,25.124061,85.459475,71.2
2593,BIHAR,23.0,24.0,7.2,7.22,884,916,,,,,4,7,8,11,0.8,0.8,24.880028,85.529992,71.2
2594,BIHAR,26.5,28.0,7.5,7.8,686,686,,,,,7,11,17,21,0.4,0.4,25.870544,86.601375,71.2
2595,BIHAR,27.0,27.0,7.27,7.27,829,829,,,,,4,4,11,11,,,25.862969,85.781044,71.2
2596,BIHAR,23.0,26.0,7.56,8.4,454,812,,,,,1,7,2,17,0.6,0.6,26.588721,85.501282,71.2
2597,BIHAR,24.0,24.0,7.7,7.7,510,556,,,,,4,8,11,17,0.9,0.9,26.210096,84.365362,71.2
2598,BIHAR,23.0,23.0,7.9,8.11,402,416,,,,,1,4,2,11,0.6,0.6,24.628777,83.920541,71.2
2599,BIHAR,22.0,24.0,7.4,7.52,901,946,,,,,2,4,4,11,0.8,0.8,24.625089,83.918998,71.2
2600,BIHAR,25.0,26.0,7.51,8.1,766,905,,,,,2,7,4,11,0.6,0.6,25.683822,85.354964,71.2
2759,JAMMU & KASHMIR,27.0,27.0,6.24,6.24,458,458,2.3,2.3,0.33,1.49,,,,,,,32.510494,75.212882,65.1
2760,JAMMU & KASHMIR,26.0,26.0,6.64,6.64,236,236,158.0,158.0,,,,,,,,,32.41944,75.581914,
2761,JAMMU & KASHMIR,26.0,26.0,6.1,6.1,106,106,,,0.06,0.057,,,,,,,32.3855,75.545246,65.1
2762,JAMMU & KASHMIR,16.2,16.2,9.4,9.4,2000,2000,68.0,68.0,,,,,,,,,32.603839,74.727475,
